Region,Category,Crafting Process,Base Material Price,Dimensions,Hours of Labor,Transport Distance,Price
East India,Toys,Handwoven,1483.3,9663.61,19.4,612.6,2078.56
North India,Textiles,Hand-Painted,1239.71,1393.28,97.8,167.4,2634.31
South India,Terracotta Pottery,Hand-Painted,1001.95,3781.18,99.4,529.1,2385.79
Central India,Painting & Decorative Arts,Handwoven,309.71,355.81,56.0,590.5,1048.43
South India,Painting & Decorative Arts,Handmade,559.6,2295.62,17.8,298.7,833.64
South India,Painting & Decorative Arts,Handmade,867.24,7826.66,32.3,36.0,1439.63
North India,Toys,Handwoven,1218.63,2091.63,43.0,38.2,1892.41
West India,Bamboo Products,Hand-Painted,1051.73,892.63,31.6,27.3,1693.62
South India,Bamboo Products,Handwoven,611.96,4797.09,28.8,739.4,1082.28
East India,Textiles,Handmade,62.61,198.7,97.3,318.7,1216.69
West India,Toys,Machine-Assisted,1017.67,939.18,16.2,796.5,1137.95
Central India,Painting & Decorative Arts,Hand-Painted,606.97,8095.5,73.6,432.3,1599.84
North India,Painting & Decorative Arts,Handmade,1482.49,7737.59,1.0,453.5,1825.4
Central India,Terracotta Pottery,Hand-Painted,96.7,9159.87,60.0,513.4,863.43
West India,Terracotta Pottery,Handwoven,1190.41,8559.7,91.7,713.3,2493.62
West India,Painting & Decorative Arts,Machine-Assisted,1885.87,6863.44,29.5,274.2,2138.57
West India,Painting & Decorative Arts,Handwoven,390.1,618.1,19.4,122.5,733.76
Central India,Toys,Machine-Assisted,969.72,7850.2,65.5,556.5,1588.6
West India,Bamboo Products,Hand-Painted,228.27,8470.56,71.5,327.7,1134.92
Central India,Terracotta Pottery,Hand-Painted,1270.08,8010.91,69.1,443.0,2359.48
West India,Bamboo Products,Handwoven,1123.54,5133.94,32.6,647.3,1755.05
East India,Toys,Machine-Assisted,844.36,2405.73,26.0,494.6,1147.27
West India,Painting & Decorative Arts,Machine-Assisted,1066.69,8468.77,95.6,620.7,1959.54
Central India,Bamboo Products,Hand-Painted,1798.32,7298.91,92.4,544.7,3171.23
South India,Painting & Decorative Arts,Handwoven,432.77,9809.54,46.3,740.1,1046.55
West India,Painting & Decorative Arts,Machine-Assisted,94.0,1641.36,84.8,706.2,1032.08
South India,Textiles,Hand-Painted,1730.25,2334.08,45.8,534.7,2727.01
East India,Bamboo Products,Handmade,1175.38,2196.8,43.0,679.2,2018.01
North India,Bamboo Products,Handwoven,1786.78,7946.14,16.5,873.7,2332.49
East India,Painting & Decorative Arts,Handmade,1214.04,1950.38,43.2,432.8,1886.14
West India,Toys,Handwoven,1629.81,759.93,54.2,413.4,2489.02
South India,Textiles,Hand-Painted,887.86,9985.75,3.2,764.5,1073.13
South India,Painting & Decorative Arts,Machine-Assisted,1512.23,345.69,45.0,583.0,1952.33
Central India,Terracotta Pottery,Machine-Assisted,1830.43,8368.92,78.4,71.9,2679.46
South India,Terracotta Pottery,Machine-Assisted,1165.64,3717.13,68.3,892.2,1892.03
Central India,Textiles,Handwoven,402.53,8431.99,63.9,31.8,1261.21
North India,Toys,Hand-Painted,574.16,5590.74,91.0,748.6,1736.5
West India,Painting & Decorative Arts,Handmade,437.36,9026.15,2.8,759.0,510.39
Central India,Bamboo Products,Hand-Painted,531.37,9269.31,56.1,953.2,1323.55
North India,Textiles,Handmade,647.51,190.07,78.9,55.1,1758.66
South India,Toys,Handwoven,1132.51,846.58,54.6,597.3,2033.81
South India,Bamboo Products,Handwoven,1196.58,2578.55,33.1,428.4,1781.37
North India,Terracotta Pottery,Handmade,881.67,6726.22,14.5,331.3,1264.54
South India,Terracotta Pottery,Handmade,1250.07,8893.89,88.9,91.2,2588.18
North India,Bamboo Products,Handmade,209.07,4653.43,47.6,563.1,768.55
Central India,Textiles,Hand-Painted,221.19,6109.03,87.9,479.6,1281.01
Central India,Terracotta Pottery,Handmade,385.07,1966.15,59.0,105.4,1204.51
North India,Painting & Decorative Arts,Handwoven,1060.25,8069.17,67.7,612.9,2072.97
Central India,Bamboo Products,Handwoven,467.29,9676.55,80.6,738.2,1607.41
Central India,Bamboo Products,Machine-Assisted,602.4,2759.13,66.3,767.5,1290.46
Central India,Terracotta Pottery,Handmade,830.61,4998.78,40.4,905.5,1457.2
East India,Textiles,Hand-Painted,1633.14,952.55,51.8,410.1,2580.86
West India,Painting & Decorative Arts,Hand-Painted,77.03,5635.45,80.5,953.1,1061.61
South India,Textiles,Hand-Painted,1316.29,5077.56,38.0,865.6,1999.13
East India,Toys,Machine-Assisted,1354.31,1529.92,39.4,297.2,1702.68
Central India,Toys,Handwoven,1607.38,4476.46,10.5,160.1,2089.93
North India,Terracotta Pottery,Hand-Painted,1868.87,3407.64,91.5,436.0,3382.91
Central India,Terracotta Pottery,Handwoven,89.27,5266.13,10.0,402.5,257.31
West India,Terracotta Pottery,Machine-Assisted,349.88,5897.98,65.2,576.1,1077.65
Central India,Toys,Handmade,1778.03,184.11,41.9,583.8,2609.35
North India,Textiles,Handmade,944.11,7633.96,41.2,750.2,1711.05
West India,Textiles,Handmade,1150.95,7158.84,68.3,510.4,2155.69
Central India,Terracotta Pottery,Hand-Painted,1342.9,3726.24,7.6,105.7,1652.05
West India,Painting & Decorative Arts,Handmade,1374.18,624.07,59.8,858.4,2278.62
South India,Textiles,Hand-Painted,1866.89,7573.83,77.4,310.5,3146.78
South India,Toys,Machine-Assisted,1994.05,9556.23,83.0,971.3,2798.86
Central India,Bamboo Products,Machine-Assisted,1454.31,2477.5,17.9,118.7,1659.61
West India,Bamboo Products,Hand-Painted,610.08,3302.89,89.8,958.3,1821.89
North India,Bamboo Products,Handwoven,1765.52,1919.75,66.0,91.9,2850.98
Central India,Painting & Decorative Arts,Handmade,145.98,5811.67,88.3,231.8,1215.14
South India,Terracotta Pottery,Handmade,500.61,1632.93,49.0,47.5,1170.16
South India,Toys,Handmade,1799.9,3626.32,54.7,705.4,2727.48
Central India,Painting & Decorative Arts,Hand-Painted,549.57,7000.43,92.0,850.4,1714.44
West India,Toys,Machine-Assisted,480.27,5645.15,90.1,434.6,1342.73
South India,Toys,Handmade,319.34,3925.98,45.4,928.6,999.69
West India,Terracotta Pottery,Machine-Assisted,1725.27,4260.47,28.2,590.7,2016.84
South India,Bamboo Products,Handmade,1025.11,5664.9,39.9,630.4,1742.04
South India,Terracotta Pottery,Handmade,1366.04,158.06,39.4,845.6,2037.12
East India,Painting & Decorative Arts,Hand-Painted,516.18,877.25,29.4,297.5,1031.93
South India,Painting & Decorative Arts,Handwoven,1528.18,8824.45,27.6,354.9,2230.07
North India,Painting & Decorative Arts,Hand-Painted,1532.01,871.0,86.2,906.0,2772.89
Central India,Terracotta Pottery,Handmade,659.57,7097.36,7.9,901.1,851.02
Central India,Toys,Handmade,850.83,9208.38,68.1,976.5,1862.98
West India,Toys,Handwoven,458.9,2779.77,18.1,901.9,800.1
South India,Textiles,Machine-Assisted,1954.29,3767.87,35.1,128.2,2271.37
North India,Painting & Decorative Arts,Machine-Assisted,1308.93,5732.32,7.1,823.9,1364.66
West India,Toys,Handmade,1872.36,8828.92,27.7,410.4,2549.36
East India,Textiles,Machine-Assisted,641.6,9424.87,77.1,990.8,1418.12
West India,Toys,Handmade,1574.69,7421.68,88.6,472.8,3012.69
West India,Painting & Decorative Arts,Handwoven,1543.42,957.54,22.9,554.3,2088.35
South India,Bamboo Products,Handwoven,1398.73,6724.63,46.9,530.2,2291.32
East India,Painting & Decorative Arts,Handmade,1933.0,4162.01,47.6,322.4,2851.72
West India,Terracotta Pottery,Handwoven,817.43,4759.94,87.5,75.9,1988.53
North India,Toys,Hand-Painted,304.9,586.57,76.5,895.8,1324.81
North India,Toys,Hand-Painted,1359.83,1991.52,51.8,802.9,2299.49
Central India,Terracotta Pottery,Handwoven,1472.15,7926.08,67.4,140.4,2617.95
East India,Terracotta Pottery,Handmade,1171.37,4594.19,84.9,777.0,2358.65
East India,Bamboo Products,Handmade,453.29,3086.46,1.9,626.2,543.45
Central India,Toys,Handwoven,1033.69,3901.79,40.9,409.7,1772.38
West India,Toys,Machine-Assisted,658.77,8558.56,90.8,254.8,1568.85
East India,Bamboo Products,Hand-Painted,883.56,7515.09,74.3,859.9,1898.19
North India,Textiles,Machine-Assisted,1308.18,2795.92,54.7,700.5,1878.1
North India,Bamboo Products,Handmade,1503.17,1263.27,53.4,548.2,2408.86
South India,Painting & Decorative Arts,Handmade,502.84,2594.78,35.4,610.0,1117.93
East India,Toys,Machine-Assisted,840.38,9215.49,52.5,92.0,1442.62
West India,Terracotta Pottery,Handwoven,574.87,5857.73,65.9,474.4,1510.85
Central India,Painting & Decorative Arts,Machine-Assisted,437.33,5381.45,42.4,194.5,929.38
Central India,Toys,Machine-Assisted,1577.61,6004.3,71.7,209.2,2297.85
West India,Bamboo Products,Hand-Painted,1823.04,3723.68,86.3,661.6,3261.52
South India,Painting & Decorative Arts,Hand-Painted,771.95,8090.36,16.3,911.3,1195.83
Central India,Toys,Machine-Assisted,1514.99,5280.53,45.7,404.4,1984.26
East India,Textiles,Machine-Assisted,1799.14,1255.8,41.4,208.5,2200.38
South India,Textiles,Handmade,1699.94,1377.74,69.1,649.1,2783.9
East India,Terracotta Pottery,Hand-Painted,406.49,5414.91,25.7,871.3,792.03
North India,Toys,Hand-Painted,1914.77,9372.05,64.4,748.6,3111.7
South India,Textiles,Handmade,784.52,3152.69,87.9,868.9,2043.51
Central India,Bamboo Products,Handwoven,711.52,8708.46,42.4,537.0,1387.84
South India,Toys,Hand-Painted,171.74,7664.55,91.2,752.1,1273.42
South India,Bamboo Products,Hand-Painted,998.04,2553.34,99.3,140.9,2290.41
South India,Bamboo Products,Handwoven,262.58,459.77,11.5,348.9,428.34
South India,Textiles,Hand-Painted,534.65,1108.29,24.1,390.2,915.56
East India,Toys,Hand-Painted,668.04,7312.09,95.1,511.8,1927.2
North India,Painting & Decorative Arts,Handwoven,1627.21,2076.73,95.9,929.1,3134.38
West India,Textiles,Handwoven,1757.2,3775.58,10.7,874.4,2336.32
South India,Textiles,Machine-Assisted,639.81,5066.82,2.5,135.4,670.99
Central India,Toys,Handmade,1724.46,7282.13,16.9,173.6,2261.32
South India,Toys,Handmade,1721.6,1220.99,99.6,358.3,3248.16
Central India,Bamboo Products,Handwoven,1541.07,4123.03,18.8,291.5,2081.1
East India,Toys,Handwoven,336.06,4902.22,50.8,615.2,971.46
Central India,Bamboo Products,Hand-Painted,1396.13,5454.19,85.0,902.9,2701.37
West India,Textiles,Machine-Assisted,1892.8,8201.77,3.0,962.3,1945.34
North India,Terracotta Pottery,Machine-Assisted,1380.95,1799.61,60.8,653.9,1999.43
Central India,Painting & Decorative Arts,Handwoven,696.65,8097.53,28.4,838.3,1199.66
Central India,Textiles,Hand-Painted,1026.13,6959.5,86.4,525.7,2289.84
North India,Toys,Hand-Painted,1309.16,5603.12,29.1,209.1,1831.6
West India,Painting & Decorative Arts,Handmade,1045.61,7025.33,69.0,525.2,2114.58
South India,Terracotta Pottery,Handmade,283.91,4178.98,67.7,555.5,1119.54
Central India,Terracotta Pottery,Hand-Painted,658.52,1470.14,22.9,742.7,1010.23
North India,Bamboo Products,Handmade,1614.67,6691.08,4.4,220.7,1935.18
East India,Painting & Decorative Arts,Handwoven,1729.77,5294.26,41.5,368.9,2595.4
North India,Bamboo Products,Hand-Painted,317.74,6429.81,29.6,364.7,725.36
East India,Textiles,Handmade,1907.15,3446.19,81.1,959.5,3177.68
West India,Painting & Decorative Arts,Machine-Assisted,691.2,9077.98,80.2,444.5,1517.1
South India,Textiles,Hand-Painted,1341.51,5914.96,46.2,755.3,2092.23
North India,Bamboo Products,Hand-Painted,1516.06,945.48,61.0,751.1,2558.26
Central India,Painting & Decorative Arts,Machine-Assisted,1633.3,4553.06,60.8,266.3,2253.22
West India,Bamboo Products,Handwoven,1894.21,7587.92,82.9,572.3,3312.13
North India,Painting & Decorative Arts,Machine-Assisted,660.19,7961.93,43.1,894.4,1180.27
Central India,Bamboo Products,Hand-Painted,1724.09,4996.51,28.3,475.7,2340.27
North India,Terracotta Pottery,Handwoven,306.79,8958.0,27.2,945.2,691.92
East India,Bamboo Products,Handmade,1424.83,2749.92,54.1,215.2,2345.18
North India,Terracotta Pottery,Handmade,1496.86,4164.93,45.5,75.1,2363.92
North India,Bamboo Products,Handmade,1371.56,8996.11,44.6,891.6,2191.86
North India,Painting & Decorative Arts,Hand-Painted,542.01,8972.94,10.0,847.8,752.78
West India,Painting & Decorative Arts,Machine-Assisted,1752.43,6888.56,72.1,992.6,2451.38
North India,Painting & Decorative Arts,Handwoven,379.27,8603.91,22.2,679.7,665.7
Central India,Toys,Handmade,154.59,978.86,20.5,936.8,480.9
East India,Textiles,Handwoven,1449.06,8663.45,41.9,827.1,2264.63
East India,Painting & Decorative Arts,Hand-Painted,977.18,3274.14,23.6,844.6,1501.7
North India,Terracotta Pottery,Handmade,1705.74,1865.48,58.8,569.6,2736.97
West India,Painting & Decorative Arts,Hand-Painted,797.62,2469.76,37.8,383.0,1377.9
West India,Toys,Machine-Assisted,378.14,4237.89,45.4,934.6,778.22
Central India,Terracotta Pottery,Hand-Painted,1681.06,2586.8,54.2,432.7,2685.62
North India,Toys,Hand-Painted,1120.37,3273.62,21.2,539.3,1546.85
East India,Terracotta Pottery,Machine-Assisted,418.93,1436.29,16.4,446.7,675.36
West India,Bamboo Products,Handwoven,1454.75,3032.15,88.2,565.3,2738.72
North India,Textiles,Machine-Assisted,1046.67,5765.61,43.9,471.0,1499.35
West India,Textiles,Machine-Assisted,1228.41,4474.35,41.8,48.9,1724.75
West India,Toys,Hand-Painted,948.75,3532.52,4.5,882.2,1222.45
East India,Textiles,Handwoven,1665.98,7489.88,50.3,444.9,2611.56
South India,Toys,Handmade,1667.65,8945.75,55.9,589.4,2623.56
Central India,Toys,Machine-Assisted,1433.31,7592.21,56.3,140.0,1927.22
Central India,Toys,Handwoven,255.53,3386.81,71.0,4.4,1197.14
East India,Textiles,Machine-Assisted,1685.77,7469.98,18.6,246.0,1947.08
West India,Toys,Machine-Assisted,1358.48,1604.6,26.0,704.9,1596.54
North India,Textiles,Machine-Assisted,1409.2,1390.15,81.3,100.1,2165.25
West India,Toys,Machine-Assisted,757.82,3521.71,94.8,909.0,1582.91
East India,Painting & Decorative Arts,Hand-Painted,1764.6,8096.25,14.5,215.8,2242.48
Central India,Toys,Handwoven,1464.47,2538.85,50.3,205.4,2355.28
West India,Terracotta Pottery,Handwoven,269.55,726.21,22.2,182.3,669.82
Central India,Toys,Handwoven,845.17,1403.92,6.9,15.0,1130.66
North India,Bamboo Products,Machine-Assisted,1778.44,8601.58,33.2,772.0,2125.69
Central India,Toys,Hand-Painted,142.03,6374.45,15.2,875.2,332.83
Central India,Terracotta Pottery,Machine-Assisted,1924.76,2606.69,71.3,614.5,2608.6
South India,Terracotta Pottery,Machine-Assisted,1374.37,5597.43,53.8,189.0,1982.65
South India,Textiles,Handwoven,1281.18,5323.04,15.2,286.0,1729.85
South India,Painting & Decorative Arts,Machine-Assisted,577.59,6588.82,1.9,476.5,491.46
Central India,Toys,Handmade,535.14,2408.56,81.0,954.4,1580.49
East India,Textiles,Machine-Assisted,1887.01,8657.59,18.4,248.1,2028.1
Central India,Painting & Decorative Arts,Handmade,631.63,3162.75,61.0,731.9,1462.64
East India,Toys,Machine-Assisted,1562.24,6971.9,34.4,440.0,1934.39
East India,Bamboo Products,Hand-Painted,816.59,259.63,59.0,298.5,1682.54
South India,Toys,Hand-Painted,321.55,3789.31,32.2,456.5,768.42
West India,Terracotta Pottery,Handwoven,70.89,3581.93,9.6,72.1,265.94
North India,Terracotta Pottery,Machine-Assisted,1111.3,5480.5,23.1,798.9,1307.48
South India,Bamboo Products,Handmade,1952.77,820.09,19.6,244.1,2671.73
South India,Textiles,Handmade,769.82,7922.3,43.4,725.7,1411.02
West India,Painting & Decorative Arts,Machine-Assisted,746.53,2256.03,66.2,69.3,1412.99
North India,Toys,Handmade,720.98,6802.67,27.1,955.1,1176.32
Central India,Terracotta Pottery,Hand-Painted,1065.06,8051.8,2.2,193.8,1310.64
Central India,Textiles,Handmade,909.3,5662.58,52.4,882.9,1742.19
South India,Bamboo Products,Handwoven,1765.83,7434.74,61.0,809.7,2872.69
North India,Terracotta Pottery,Hand-Painted,1035.77,6652.42,96.3,967.9,2360.87
South India,Bamboo Products,Hand-Painted,1040.13,3619.74,59.4,478.4,1904.81
East India,Toys,Hand-Painted,319.82,8107.7,47.6,727.7,1080.14
South India,Painting & Decorative Arts,Machine-Assisted,1966.34,3017.54,57.8,371.3,2520.14
South India,Terracotta Pottery,Machine-Assisted,537.45,5755.01,92.9,185.2,1501.41
Central India,Terracotta Pottery,Hand-Painted,193.06,7479.44,83.0,443.6,1147.29
Central India,Toys,Machine-Assisted,1343.14,3851.66,33.0,166.6,1659.16
Central India,Textiles,Handmade,1210.96,3097.4,24.5,982.1,1740.79
East India,Painting & Decorative Arts,Machine-Assisted,859.53,4647.53,27.0,97.2,1153.17
Central India,Terracotta Pottery,Machine-Assisted,873.27,8197.84,50.9,589.6,1246.15
North India,Painting & Decorative Arts,Hand-Painted,1580.87,9306.23,74.7,626.8,2801.75
West India,Terracotta Pottery,Handwoven,431.64,5496.33,50.8,538.5,1070.08
North India,Painting & Decorative Arts,Handwoven,1649.49,6648.52,7.7,662.5,2088.01
North India,Bamboo Products,Handwoven,1315.06,9042.41,72.6,117.1,2397.46
Central India,Terracotta Pottery,Handmade,866.99,1075.61,80.8,555.5,1967.21
West India,Painting & Decorative Arts,Machine-Assisted,943.16,2397.58,29.7,287.9,1226.48
West India,Textiles,Handwoven,550.46,7118.11,66.7,940.2,1408.34
West India,Bamboo Products,Hand-Painted,1516.62,8255.07,43.2,762.3,2314.57
East India,Bamboo Products,Handwoven,1050.11,8584.59,89.0,972.5,2268.46
Central India,Textiles,Handwoven,675.67,4209.56,84.7,38.5,1735.55
West India,Painting & Decorative Arts,Machine-Assisted,1212.3,984.47,53.0,285.8,1793.2
East India,Toys,Machine-Assisted,1991.68,4434.04,69.5,196.2,2621.88
South India,Textiles,Machine-Assisted,898.76,2384.27,88.5,12.1,1774.83
South India,Painting & Decorative Arts,Handmade,1845.35,2982.84,50.1,243.1,2853.26
East India,Textiles,Handmade,722.78,7745.45,32.0,679.1,1220.59
East India,Textiles,Handwoven,156.73,847.72,75.6,231.9,1054.02
Central India,Terracotta Pottery,Machine-Assisted,448.27,8293.05,22.8,509.5,687.58
Central India,Painting & Decorative Arts,Handwoven,866.46,4333.92,39.5,887.9,1569.65
South India,Toys,Hand-Painted,478.29,6001.03,86.7,694.1,1555.88
West India,Terracotta Pottery,Hand-Painted,50.44,987.56,72.7,395.2,925.42
South India,Textiles,Machine-Assisted,1834.25,3439.85,41.0,373.1,2157.63
West India,Textiles,Machine-Assisted,1695.56,988.04,22.3,456.3,1898.9
West India,Textiles,Hand-Painted,1497.47,9619.28,36.2,177.9,2233.07
Central India,Painting & Decorative Arts,Machine-Assisted,377.24,8091.89,29.1,634.4,625.51
North India,Painting & Decorative Arts,Handmade,284.71,4650.36,18.4,364.8,539.6
North India,Terracotta Pottery,Handmade,181.83,2313.67,74.6,852.5,1042.98
East India,Toys,Machine-Assisted,1461.86,9341.21,26.0,756.8,1725.71
Central India,Terracotta Pottery,Hand-Painted,1861.18,3511.51,46.0,610.9,2838.2
West India,Bamboo Products,Handwoven,889.54,1693.75,39.2,364.8,1482.99
North India,Textiles,Machine-Assisted,282.32,5675.33,98.2,210.7,1233.19
West India,Textiles,Machine-Assisted,1049.17,9443.36,39.7,776.4,1471.3
North India,Textiles,Handwoven,730.22,137.92,8.9,486.9,1043.67
North India,Terracotta Pottery,Machine-Assisted,780.91,2457.44,9.9,225.5,805.25
North India,Terracotta Pottery,Handwoven,1261.59,9390.63,59.5,196.0,2219.47
Central India,Textiles,Hand-Painted,1451.5,1793.75,60.3,166.2,2479.56
South India,Terracotta Pottery,Handmade,265.68,1221.11,42.5,777.4,823.71
West India,Painting & Decorative Arts,Hand-Painted,119.4,5744.85,43.8,229.8,545.04
Central India,Painting & Decorative Arts,Handmade,1988.94,8632.25,6.3,527.1,2487.38
Central India,Terracotta Pottery,Handwoven,503.82,4823.39,52.1,452.1,1305.75
Central India,Textiles,Handmade,154.97,9946.19,51.0,580.0,803.8
Central India,Terracotta Pottery,Hand-Painted,420.26,6823.8,15.8,877.3,642.36
Central India,Terracotta Pottery,Handmade,125.97,833.34,11.3,867.9,261.11
East India,Terracotta Pottery,Handwoven,814.03,9929.04,13.2,451.6,1223.73
West India,Bamboo Products,Handmade,1614.68,4138.15,11.0,16.4,2115.11
Central India,Painting & Decorative Arts,Machine-Assisted,715.43,2945.29,61.4,427.0,1361.43
West India,Toys,Hand-Painted,916.16,5623.0,20.5,606.6,1363.21
East India,Toys,Machine-Assisted,1367.39,3112.65,25.9,558.2,1593.33
East India,Bamboo Products,Handwoven,1042.34,955.93,18.2,651.7,1459.18
West India,Terracotta Pottery,Handmade,1729.82,114.14,95.8,154.9,3221.49
North India,Bamboo Products,Machine-Assisted,1738.77,4550.88,85.6,646.9,2622.25
South India,Bamboo Products,Machine-Assisted,69.33,8384.95,23.8,183.5,382.78
North India,Textiles,Handmade,1567.19,5765.92,33.4,750.8,2337.34
North India,Painting & Decorative Arts,Handmade,948.43,9992.15,21.8,339.7,1328.75
North India,Toys,Hand-Painted,1978.24,2939.78,49.7,710.2,2981.49
Central India,Terracotta Pottery,Machine-Assisted,992.3,2876.51,2.9,48.8,1058.14
East India,Toys,Machine-Assisted,1974.45,1681.52,67.5,408.5,2680.39
North India,Toys,Handwoven,1521.41,1724.23,52.8,705.3,2427.83
East India,Painting & Decorative Arts,Hand-Painted,534.78,2923.35,90.0,227.6,1867.44
West India,Toys,Handwoven,1099.87,7949.12,17.3,795.5,1463.59
South India,Toys,Machine-Assisted,1984.66,9066.99,80.6,631.1,2736.5
West India,Bamboo Products,Handwoven,1722.18,9753.36,79.4,588.0,3031.1
West India,Painting & Decorative Arts,Machine-Assisted,239.87,2399.67,13.6,354.2,481.71
Central India,Textiles,Machine-Assisted,1427.43,8824.85,40.5,483.0,1790.62
South India,Terracotta Pottery,Handwoven,723.88,3349.73,17.8,597.8,1068.96
West India,Toys,Handwoven,63.62,1217.12,26.2,473.0,444.61
West India,Terracotta Pottery,Handmade,836.79,8713.25,27.1,698.6,1328.45
South India,Textiles,Handmade,507.77,6397.45,56.1,434.3,1265.79
South India,Terracotta Pottery,Handmade,1646.8,1730.84,41.7,203.1,2504.84
West India,Textiles,Machine-Assisted,707.79,4355.33,94.8,214.7,1669.42
South India,Bamboo Products,Handwoven,1663.67,2943.85,13.5,6.8,2209.93
West India,Toys,Hand-Painted,51.17,7394.27,97.4,301.7,1294.78
West India,Textiles,Machine-Assisted,650.25,4588.82,23.8,749.2,903.6
Central India,Terracotta Pottery,Hand-Painted,520.27,9893.87,77.5,794.4,1568.91
North India,Toys,Handwoven,505.46,641.98,34.6,203.3,1032.46
West India,Bamboo Products,Machine-Assisted,182.96,3614.65,15.2,959.1,359.42
East India,Toys,Hand-Painted,414.89,4870.81,85.9,502.9,1531.43
North India,Textiles,Hand-Painted,1133.32,5081.02,31.6,917.1,1739.15
North India,Bamboo Products,Handmade,618.15,3227.76,66.2,707.1,1596.01
North India,Terracotta Pottery,Handmade,863.92,7319.48,57.1,722.7,1797.71
Central India,Bamboo Products,Handmade,784.89,8760.0,47.7,86.0,1438.89
West India,Bamboo Products,Machine-Assisted,1758.01,9393.32,50.1,220.8,2259.51
Central India,Painting & Decorative Arts,Handwoven,1815.33,8070.42,73.5,9.8,3025.96
West India,Bamboo Products,Handwoven,1011.27,8520.74,9.7,716.4,1314.38
Central India,Bamboo Products,Handmade,693.8,5550.4,67.1,345.1,1657.89
Central India,Toys,Handmade,258.26,8276.29,89.7,786.9,1419.78
East India,Terracotta Pottery,Handmade,1909.14,3104.69,6.7,339.6,2365.76
Central India,Toys,Hand-Painted,167.44,4044.94,14.9,819.5,284.06
South India,Toys,Handmade,630.42,3237.44,71.9,131.6,1571.05
East India,Textiles,Hand-Painted,631.23,4727.13,44.3,174.2,1333.9
Central India,Toys,Handwoven,674.78,2927.24,41.0,341.5,1164.71
North India,Painting & Decorative Arts,Machine-Assisted,370.36,9619.95,14.6,409.1,575.73
South India,Painting & Decorative Arts,Machine-Assisted,1577.16,3197.16,51.2,349.4,2115.22
South India,Textiles,Machine-Assisted,288.87,1070.64,13.5,763.9,489.68
South India,Terracotta Pottery,Machine-Assisted,1288.07,5315.49,48.2,97.9,1760.14
East India,Terracotta Pottery,Hand-Painted,291.5,665.28,76.6,351.9,1165.93
Central India,Toys,Hand-Painted,187.54,1194.38,26.6,837.4,565.77
Central India,Toys,Handmade,1823.39,2271.95,48.6,67.7,2835.0
North India,Toys,Hand-Painted,420.75,4697.07,99.2,942.4,1741.54
North India,Terracotta Pottery,Handmade,1651.44,4389.18,69.0,986.3,2776.59
South India,Bamboo Products,Handmade,1112.03,8016.95,84.3,89.5,2350.37
North India,Painting & Decorative Arts,Machine-Assisted,201.82,7420.8,42.1,292.0,596.18
East India,Bamboo Products,Hand-Painted,1913.12,4320.55,77.0,373.0,3178.78
Central India,Bamboo Products,Hand-Painted,531.57,3403.67,5.0,776.6,745.65
South India,Terracotta Pottery,Handmade,1726.31,3233.04,13.2,596.3,2170.1
North India,Bamboo Products,Handmade,379.18,7762.55,21.1,644.7,663.53
East India,Textiles,Handwoven,1715.19,615.52,40.8,757.8,2492.63
East India,Toys,Handwoven,75.8,226.93,84.7,118.9,1032.85
North India,Textiles,Handmade,1047.97,7975.89,35.3,833.4,1688.48
Central India,Painting & Decorative Arts,Handwoven,1550.41,4823.75,65.8,705.9,2708.17
North India,Toys,Handwoven,1872.85,1395.72,71.2,577.8,3092.58
South India,Bamboo Products,Handmade,1822.94,2432.1,59.0,889.8,2820.24
North India,Painting & Decorative Arts,Handmade,1648.27,9331.79,36.4,700.6,2456.72
East India,Toys,Hand-Painted,1781.97,8609.08,58.1,202.5,2919.85
North India,Bamboo Products,Handmade,438.48,7126.87,34.9,430.3,912.66
Central India,Textiles,Handmade,604.16,4874.03,9.3,494.5,812.66
West India,Toys,Machine-Assisted,613.49,5251.2,99.3,56.2,1632.27
North India,Bamboo Products,Hand-Painted,785.26,9754.92,13.6,954.7,1186.61
Central India,Textiles,Hand-Painted,816.98,9661.13,8.2,129.4,1052.78
Central India,Painting & Decorative Arts,Hand-Painted,1111.88,2231.16,88.0,697.8,2323.63
East India,Painting & Decorative Arts,Machine-Assisted,361.77,8129.94,30.9,506.7,702.34
Central India,Painting & Decorative Arts,Handmade,1397.93,2052.7,65.4,26.6,2502.27
Central India,Painting & Decorative Arts,Hand-Painted,376.75,2214.02,33.6,924.8,855.61
Central India,Terracotta Pottery,Hand-Painted,655.1,6793.32,39.8,852.0,1235.81
Central India,Toys,Handwoven,1031.52,4109.51,26.9,524.7,1610.34
South India,Toys,Hand-Painted,1603.06,9322.29,35.0,229.7,2370.07
South India,Terracotta Pottery,Handmade,1491.97,981.2,41.7,122.5,2252.34
East India,Bamboo Products,Handmade,1308.79,5164.1,72.3,364.0,2440.6
North India,Bamboo Products,Handwoven,353.76,9193.36,51.6,256.2,976.13
Central India,Painting & Decorative Arts,Hand-Painted,1116.74,9050.73,94.4,507.2,2507.18
North India,Textiles,Hand-Painted,220.52,1649.64,5.1,966.4,312.71
North India,Bamboo Products,Hand-Painted,785.86,3729.71,50.8,575.4,1530.85
East India,Textiles,Machine-Assisted,856.36,6229.3,58.8,890.0,1442.72
Central India,Toys,Hand-Painted,127.63,1678.01,92.1,651.2,1260.37
Central India,Textiles,Handmade,584.28,9683.42,5.9,475.8,816.68
